density,agents,seed,method,success,expansions,cost,runtime
0.0,12,30,linear,1,20,104,0.01317
0.0,12,30,mlp,1,93,104,0.05023
0.0,12,31,cardinal,1,18,93,0.01198
0.0,12,31,linear,1,18,93,0.01275
0.0,12,31,mlp,1,115,93,0.06476
0.0,12,32,cardinal,1,6,90,0.00394
0.0,12,32,linear,1,6,90,0.00435
0.0,12,32,mlp,1,6,90,0.004
0.0,12,33,cardinal,1,66,93,0.03216
0.0,12,33,linear,1,78,93,0.03822
0.0,12,33,mlp,1,77,93,0.03741
0.0,12,34,cardinal,1,10,96,0.00721
0.0,12,34,linear,1,9,96,0.0086
0.0,12,34,mlp,1,10,96,0.00787
0.0,12,35,cardinal,1,11,88,0.00624
0.0,12,35,linear,1,13,88,0.00738
0.0,12,35,mlp,1,13,88,0.00765
0.0,12,36,cardinal,1,5,74,0.003
0.0,12,36,linear,1,6,74,0.0038
0.0,12,36,mlp,1,6,74,0.00369
0.0,12,37,cardinal,1,21,71,0.01019
0.0,12,37,linear,1,17,71,0.01018
0.0,12,37,mlp,1,15,71,0.00836
0.0,12,38,cardinal,1,11,83,0.00527
0.0,12,38,linear,1,11,83,0.00531
0.0,12,38,mlp,1,11,83,0.00561
0.0,12,39,cardinal,1,8,87,0.00395
0.0,12,39,linear,1,11,87,0.00545
0.0,12,39,mlp,1,15,87,0.00745
0.0,14,0,cardinal,1,207,94,0.12449
0.0,14,0,linear,1,101,94,0.06629
0.0,14,0,mlp,1,193,94,0.12196
0.0,14,1,cardinal,1,43,112,0.03666
0.0,14,1,linear,1,24,112,0.02616
0.0,14,1,mlp,1,26,112,0.02472
0.0,14,2,cardinal,1,25,104,0.01769
0.0,14,2,linear,1,21,104,0.01591
0.0,14,2,mlp,1,18,104,0.01362
0.0,14,3,cardinal,0,8000,,7.70799
0.0,14,3,linear,0,8000,,8.91736
0.0,14,3,mlp,0,8000,,9.11523
0.0,14,4,cardinal,1,14,78,0.01205
0.0,14,4,linear,1,12,78,0.01013
0.0,14,4,mlp,1,18,78,0.01393
0.0,14,5,cardinal,1,41,117,0.03302
0.0,14,5,linear,1,190,117,0.1047
0.0,14,5,mlp,1,1127,117,0.68869
0.0,14,6,cardinal,1,16,96,0.00909
0.0,14,6,linear,1,11,96,0.00788
0.0,14,6,mlp,1,12,96,0.00856
0.0,14,7,cardinal,0,8000,,4.38085
0.0,14,7,linear,0,8000,,5.06261
0.0,14,7,mlp,1,5328,97,3.43085
0.0,14,8,cardinal,1,80,109,0.04847
0.0,14,8,linear,1,113,109,0.0716
0.0,14,8,mlp,1,161,109,0.10669
0.0,14,9,cardinal,1,9,95,0.00669
0.0,14,9,linear,1,11,95,0.0085
0.0,14,9,mlp,1,12,95,0.00843
0.0,14,10,cardinal,1,295,98,0.12987
0.0,14,10,linear,1,157,98,0.08267
0.0,14,10,mlp,1,1177,98,0.58313
0.0,14,11,cardinal,1,9,102,0.0089
0.0,14,11,linear,1,9,102,0.00967
0.0,14,11,mlp,1,11,102,0.01145
0.0,14,12,cardinal,1,13,97,0.00869
0.0,14,12,linear,1,16,97,0.01237
0.0,14,12,mlp,1,37,97,0.02705
0.0,14,13,cardinal,1,14,77,0.00744
0.0,14,13,linear,1,12,77,0.00654
0.0,14,13,mlp,1,14,77,0.00775
0.0,14,14,cardinal,1,25,99,0.01798
0.0,14,14,linear,1,34,99,0.02325
0.0,14,14,mlp,1,41,99,0.02822
0.0,14,15,cardinal,1,8,99,0.00521
0.0,14,15,linear,1,8,99,0.00542
0.0,14,15,mlp,1,8,99,0.00567
0.0,14,16,cardinal,1,12,110,0.00904
0.0,14,16,linear,1,14,110,0.01078
0.0,14,16,mlp,1,20,110,0.015
0.0,14,17,cardinal,1,10,95,0.0074
0.0,14,17,linear,1,10,95,0.00725
0.0,14,17,mlp,1,14,95,0.01008
0.0,14,18,cardinal,1,10,73,0.00715
0.0,14,18,linear,1,11,73,0.00793
0.0,14,18,mlp,1,12,73,0.00846
0.0,14,19,cardinal,1,9,85,0.00527
0.0,14,19,linear,1,9,85,0.00556
0.0,14,19,mlp,1,9,85,0.00548
0.0,14,20,cardinal,1,3,84,0.00158
0.0,14,20,linear,1,3,84,0.00159
0.0,14,20,mlp,1,3,84,0.00163
0.0,14,21,cardinal,1,12,101,0.00818
0.0,14,21,linear,1,9,101,0.00668
0.0,14,21,mlp,1,11,101,0.00797
0.0,14,22,cardinal,1,48,115,0.03084
0.0,14,22,linear,1,20,115,0.01633
0.0,14,22,mlp,1,47,115,0.03261
0.0,14,23,cardinal,1,7,89,0.00434
0.0,14,23,linear,1,7,89,0.00455
0.0,14,23,mlp,1,8,89,0.00547
0.0,14,24,cardinal,1,7,116,0.0052
0.0,14,24,linear,1,7,116,0.00566
0.0,14,24,mlp,1,7,116,0.00539
0.0,14,25,cardinal,1,5,116,0.00409
0.0,14,25,linear,1,5,116,0.00423
0.0,14,25,mlp,1,5,116,0.00426
0.0,14,26,cardinal,0,8000,,4.10682
0.0,14,26,linear,1,1208,109,0.73496
0.0,14,26,mlp,0,8000,,4.58721
0.0,14,27,cardinal,1,6,77,0.00408
0.0,14,27,linear,1,6,77,0.00412
0.0,14,27,mlp,1,5,77,0.00338
0.0,14,28,cardinal,1,9,87,0.00601
0.0,14,28,linear,1,9,87,0.00633
0.0,14,28,mlp,1,9,87,0.00644
0.0,14,29,cardinal,1,20,103,0.0144
0.0,14,29,linear,1,17,103,0.01395
0.0,14,29,mlp,1,22,103,0.01786
0.0,14,30,cardinal,1,37,116,0.02384
0.0,14,30,linear,1,47,116,0.03424
0.0,14,30,mlp,1,140,116,0.09645
0.0,14,31,cardinal,1,19,108,0.01412
0.0,14,31,linear,1,20,108,0.01654
0.0,14,31,mlp,1,42,108,0.02914
0.0,14,32,cardinal,1,9,106,0.00755
0.0,14,32,linear,1,10,106,0.00854
0.0,14,32,mlp,1,9,106,0.00758
0.0,14,33,cardinal,1,68,106,0.04038
0.0,14,33,linear,1,106,106,0.0653
0.0,14,33,mlp,1,126,106,0.07781
0.0,14,34,cardinal,0,8000,,5.18299
0.0,14,34,linear,1,2670,108,1.79852
0.0,14,34,mlp,0,8000,,5.51345
0.0,14,35,cardinal,1,28,100,0.01653
0.0,14,35,linear,1,26,100,0.01566
0.0,14,35,mlp,1,31,100,0.01908
0.0,14,36,cardinal,1,17,81,0.01277
0.0,14,36,linear,1,16,81,0.01284
0.0,14,36,mlp,1,16,81,0.01275
0.0,14,37,cardinal,1,22,76,0.01271
0.0,14,37,linear,1,19,76,0.01307
0.0,14,37,mlp,1,17,76,0.01183
0.0,14,38,cardinal,1,52,98,0.02654
0.0,14,38,linear,1,213,98,0.12178
0.0,14,38,mlp,1,92,98,0.05054
0.0,14,39,cardinal,1,5410,105,3.61658
0.0,14,39,linear,1,597,105,0.4248
0.0,14,39,mlp,1,943,105,0.66115
0.1,8,0,cardinal,1,3,52,0.00091
0.1,8,0,linear,1,3,52,0.00096
0.1,8,0,mlp,1,3,52,0.00099
0.1,8,1,cardinal,1,8,69,0.00541
0.1,8,1,linear,1,7,69,0.00457
0.1,8,1,mlp,1,7,69,0.00472
0.1,8,2,cardinal,1,16,62,0.01662
0.1,8,2,linear,1,12,62,0.0116
0.1,8,2,mlp,1,16,62,0.01866
0.1,8,3,cardinal,1,9,57,0.00357
0.1,8,3,linear,1,9,57,0.00379
0.1,8,3,mlp,1,9,57,0.00506
0.1,8,4,cardinal,1,10,47,0.00478
0.1,8,4,linear,1,7,47,0.004
0.1,8,4,mlp,1,25,47,0.01156
0.1,8,5,cardinal,1,3,54,0.00118
0.1,8,5,linear,1,3,54,0.00129
0.1,8,5,mlp,1,3,54,0.00122
0.1,8,6,cardinal,1,1,47,0.00039
0.1,8,6,linear,1,1,47,0.00038
0.1,8,6,mlp,1,1,47,0.00037
0.1,8,7,cardinal,1,8,68,0.00506
0.1,8,7,linear,1,8,68,0.005
0.1,8,7,mlp,1,10,68,0.00605
0.1,8,8,cardinal,1,4,66,0.00183
0.1,8,8,linear,1,4,66,0.002
0.1,8,8,mlp,1,5,66,0.00212
0.1,8,9,cardinal,1,5,52,0.00216
0.1,8,9,linear,1,5,52,0.00232
0.1,8,9,mlp,1,8,52,0.00356
0.1,8,10,cardinal,1,4,61,0.00128
0.1,8,10,linear,1,5,61,0.00168
0.1,8,10,mlp,1,5,61,0.00159
0.1,8,11,cardinal,1,2,73,0.001
0.1,8,11,linear,1,2,73,0.0011
0.1,8,11,mlp,1,2,73,0.00103
0.1,8,12,cardinal,1,6,63,0.00312
0.1,8,12,linear,1,6,63,0.00339
0.1,8,12,mlp,1,6,63,0.00332
0.1,8,13,cardinal,1,4,73,0.00192
0.1,8,13,linear,1,5,73,0.00276
0.1,8,13,mlp,1,4,73,0.00198
0.1,8,14,cardinal,1,1,46,0.00036
0.1,8,14,linear,1,1,46,0.00034
0.1,8,14,mlp,1,1,46,0.00035
0.1,8,15,cardinal,1,13,52,0.00468
0.1,8,15,linear,1,9,52,0.00408
0.1,8,15,mlp,1,11,52,0.00415
0.1,8,16,cardinal,1,9,67,0.00652
0.1,8,16,linear,1,9,67,0.00707
0.1,8,16,mlp,1,9,67,0.00723
0.1,8,17,cardinal,1,2,45,0.00072
0.1,8,17,linear,1,2,45,0.00079
0.1,8,17,mlp,1,2,45,0.00072
0.1,8,18,cardinal,1,5,42,0.00138
0.1,8,18,linear,1,5,42,0.00166
0.1,8,18,mlp,1,5,42,0.00159
0.1,8,19,cardinal,1,2,57,0.00065
0.1,8,19,linear,1,2,57,0.00073
0.1,8,19,mlp,1,2,57,0.00068
0.1,8,20,cardinal,1,5,43,0.00111
0.1,8,20,linear,1,5,43,0.00124
0.1,8,20,mlp,1,5,43,0.00135
0.1,8,21,cardinal,1,11,51,0.00323
0.1,8,21,linear,1,11,51,0.00363
0.1,8,21,mlp,1,20,51,0.00657
0.1,8,22,cardinal,1,8,66,0.00345
0.1,8,22,linear,1,5,66,0.00229
0.1,8,22,mlp,1,4,66,0.00199
0.1,8,23,cardinal,1,4,43,0.00094
0.1,8,23,linear,1,3,43,0.00091
0.1,8,23,mlp,1,3,43,0.00084
0.1,8,24,cardinal,1,4,62,0.00156
0.1,8,24,linear,1,4,62,0.00166
0.1,8,24,mlp,1,4,62,0.00168
0.1,8,25,cardinal,1,6,64,0.00297
0.1,8,25,linear,1,5,64,0.0025
0.1,8,25,mlp,1,6,64,0.00334
0.1,8,26,cardinal,1,7,50,0.00255
0.1,8,26,linear,1,6,50,0.00249
0.1,8,26,mlp,1,6,50,0.00249
0.1,8,27,cardinal,1,6,52,0.00363
0.1,8,27,linear,1,5,52,0.00316
0.1,8,27,mlp,1,5,52,0.00321
0.1,8,28,cardinal,1,213,54,0.05787
0.1,8,28,linear,1,161,54,0.04562
0.1,8,28,mlp,1,38,54,0.01309
0.1,8,29,cardinal,1,4,50,0.00119
0.1,8,29,linear,1,5,50,0.00156
0.1,8,29,mlp,1,5,50,0.00156
0.1,8,30,cardinal,1,4,60,0.00194
0.1,8,30,linear,1,4,60,0.00201
0.1,8,30,mlp,1,4,60,0.00207
0.1,8,31,cardinal,1,4,45,0.00217
0.1,8,31,linear,1,4,45,0.0025
0.1,8,31,mlp,1,4,45,0.00226
0.1,8,32,cardinal,1,5,64,0.002
0.1,8,32,linear,1,5,64,0.00216
0.1,8,32,mlp,1,5,64,0.00207
0.1,8,33,cardinal,1,3,62,0.00173
0.1,8,33,linear,1,3,62,0.00182
0.1,8,33,mlp,1,3,62,0.00168
0.1,8,34,cardinal,1,5,66,0.00384
0.1,8,34,linear,1,5,66,0.00412
0.1,8,34,mlp,1,5,66,0.00391
0.1,8,35,cardinal,1,14,70,0.00525
0.1,8,35,linear,1,15,70,0.0073
0.1,8,35,mlp,1,58,70,0.0239
0.1,8,36,cardinal,1,3,48,0.00099
0.1,8,36,linear,1,3,48,0.001
0.1,8,36,mlp,1,4,48,0.00109
0.1,8,37,cardinal,1,10,64,0.00416
0.1,8,37,linear,1,8,64,0.00344
0.1,8,37,mlp,1,10,64,0.0048
0.1,8,38,cardinal,1,5,53,0.00149
0.1,8,38,linear,1,5,53,0.00165
0.1,8,38,mlp,1,6,53,0.00193
0.1,8,39,cardinal,1,3,48,0.00101
0.1,8,39,linear,1,3,48,0.00114
0.1,8,39,mlp,1,3,48,0.00103
0.1,10,0,cardinal,1,4,67,0.00141
0.1,10,0,linear,1,4,67,0.00152
0.1,10,0,mlp,1,4,67,0.0015
0.1,10,1,cardinal,1,17,95,0.01258
0.1,10,1,linear,1,16,95,0.01254
