density,agents,seed,method,success,expansions,cost,runtime
0.0,8,68,mlp,1,9,46,0.00423
0.0,8,69,cardinal,1,3,34,0.00069
0.0,8,69,linear,1,3,34,0.00071
0.0,8,69,mlp,1,3,34,0.00071
0.0,8,70,cardinal,1,3,36,0.00085
0.0,8,70,linear,1,3,36,0.00091
0.0,8,70,mlp,1,3,36,0.00079
0.0,8,71,cardinal,1,90,48,0.05246
0.0,8,71,linear,1,21,48,0.02201
0.0,8,71,mlp,1,145,48,0.09868
0.0,8,72,cardinal,1,4,48,0.00135
0.0,8,72,linear,1,4,48,0.00142
0.0,8,72,mlp,1,6,48,0.00203
0.0,8,73,cardinal,1,3,60,0.00181
0.0,8,73,linear,1,3,60,0.002
0.0,8,73,mlp,1,3,60,0.0018
0.0,8,74,cardinal,1,3,48,0.00118
0.0,8,74,linear,1,3,48,0.00119
0.0,8,74,mlp,1,3,48,0.0012
0.0,8,75,cardinal,1,5,47,0.00153
0.0,8,75,linear,1,4,47,0.0014
0.0,8,75,mlp,1,5,47,0.00181
0.0,8,76,cardinal,1,1,37,0.00024
0.0,8,76,linear,1,1,37,0.00022
0.0,8,76,mlp,1,1,37,0.00023
0.0,8,77,cardinal,1,1,49,0.0004
0.0,8,77,linear,1,1,49,0.0004
0.0,8,77,mlp,1,1,49,0.00039
0.0,8,78,cardinal,1,3,38,0.00075
0.0,8,78,linear,1,3,38,0.00088
0.0,8,78,mlp,1,3,38,0.00087
0.0,8,79,cardinal,1,7,43,0.00251
0.0,8,79,linear,1,6,43,0.00227
0.0,8,79,mlp,1,6,43,0.00216
0.0,10,0,cardinal,1,3,48,0.00087
0.0,10,0,linear,1,3,48,0.00095
0.0,10,0,mlp,1,3,48,0.00087
0.0,10,1,cardinal,1,6,57,0.00265
0.0,10,1,linear,1,5,57,0.00243
0.0,10,1,mlp,1,6,57,0.00284
0.0,10,2,cardinal,1,5,56,0.00182
0.0,10,2,linear,1,5,56,0.00193
0.0,10,2,mlp,1,5,56,0.00185
0.0,10,3,cardinal,1,9,51,0.00275
0.0,10,3,linear,1,8,51,0.00276
0.0,10,3,mlp,1,11,51,0.00378
0.0,10,4,cardinal,1,12,46,0.00429
0.0,10,4,linear,1,10,46,0.00359
0.0,10,4,mlp,1,9,46,0.0032
0.0,10,5,cardinal,1,6,55,0.00213
0.0,10,5,linear,1,6,55,0.00236
0.0,10,5,mlp,1,6,55,0.0024
0.0,10,6,cardinal,1,4,63,0.0021
0.0,10,6,linear,1,4,63,0.00233
0.0,10,6,mlp,1,4,63,0.00222
0.0,10,7,cardinal,1,13,69,0.00627
0.0,10,7,linear,1,14,69,0.00714
0.0,10,7,mlp,1,14,69,0.00745
0.0,10,8,cardinal,1,10,54,0.00426
0.0,10,8,linear,1,8,54,0.0037
0.0,10,8,mlp,1,10,54,0.00487
0.0,10,9,cardinal,1,6,52,0.00258
0.0,10,9,linear,1,6,52,0.00273
0.0,10,9,mlp,1,6,52,0.00278
0.0,10,10,cardinal,1,4,64,0.00218
0.0,10,10,linear,1,3,64,0.00174
0.0,10,10,mlp,1,3,64,0.00168
0.0,10,11,cardinal,1,4,46,0.00133
0.0,10,11,linear,1,4,46,0.00139
0.0,10,11,mlp,1,4,46,0.00138
0.0,10,12,cardinal,1,3,58,0.0012
0.0,10,12,linear,1,3,58,0.0013
0.0,10,12,mlp,1,3,58,0.00118
0.0,10,13,cardinal,1,6,49,0.00196
0.0,10,13,linear,1,6,49,0.00233
0.0,10,13,mlp,1,6,49,0.00218
0.0,10,14,cardinal,1,3,47,0.00123
0.0,10,14,linear,1,3,47,0.00132
0.0,10,14,mlp,1,3,47,0.00122
0.0,10,15,cardinal,1,2,44,0.00056
0.0,10,15,linear,1,2,44,0.0006
0.0,10,15,mlp,1,2,44,0.00055
0.0,10,16,cardinal,1,28,54,0.01461
0.0,10,16,linear,1,11,54,0.00778
0.0,10,16,mlp,1,10,54,0.00661
0.0,10,17,cardinal,1,9,56,0.00376
0.0,10,17,linear,1,10,56,0.00466
0.0,10,17,mlp,1,10,56,0.00452
0.0,10,18,cardinal,1,14,50,0.00587
0.0,10,18,linear,1,14,50,0.00627
0.0,10,18,mlp,1,26,50,0.01118
0.0,10,19,cardinal,1,13,49,0.00452
0.0,10,19,linear,1,14,49,0.00522
0.0,10,19,mlp,1,17,49,0.00596
0.0,10,20,cardinal,1,4,48,0.00147
0.0,10,20,linear,1,4,48,0.00171
0.0,10,20,mlp,1,4,48,0.00158
0.0,10,21,cardinal,1,19,64,0.00713
0.0,10,21,linear,1,20,64,0.00839
0.0,10,21,mlp,1,56,64,0.02217
0.0,10,22,cardinal,1,3,68,0.00173
0.0,10,22,linear,1,3,68,0.00172
0.0,10,22,mlp,1,3,68,0.00172
0.0,10,23,cardinal,1,6,69,0.00267
0.0,10,23,linear,1,7,69,0.00337
0.0,10,23,mlp,1,7,69,0.0034
0.0,10,24,cardinal,1,10,58,0.00435
0.0,10,24,linear,1,9,58,0.00372
0.0,10,24,mlp,1,9,58,0.00388
0.0,10,25,cardinal,1,4,54,0.00124
0.0,10,25,linear,1,4,54,0.00155
0.0,10,25,mlp,1,3,54,0.0011
0.0,10,26,cardinal,1,5,48,0.00229
0.0,10,26,linear,1,7,48,0.00316
0.0,10,26,mlp,1,5,48,0.00203
0.0,10,27,cardinal,1,6,55,0.00295
0.0,10,27,linear,1,6,55,0.00321
0.0,10,27,mlp,1,7,55,0.00368
0.0,10,28,cardinal,1,27,52,0.00813
0.0,10,28,linear,1,17,52,0.00656
0.0,10,28,mlp,1,54,52,0.01897
0.0,10,29,cardinal,1,4,61,0.00177
0.0,10,29,linear,1,4,61,0.00191
0.0,10,29,mlp,1,4,61,0.00184
0.0,10,30,cardinal,1,6,62,0.00276
0.0,10,30,linear,1,7,62,0.0035
0.0,10,30,mlp,1,7,62,0.00357
0.0,10,31,cardinal,1,20,59,0.01203
0.0,10,31,linear,1,16,59,0.00821
0.0,10,31,mlp,1,22,59,0.01425
0.0,10,32,cardinal,1,5,56,0.00278
0.0,10,32,linear,1,5,56,0.00316
0.0,10,32,mlp,1,5,56,0.00292
0.0,10,33,cardinal,1,2,53,0.00078
0.0,10,33,linear,1,2,53,0.00084
0.0,10,33,mlp,1,2,53,0.00078
0.0,10,34,cardinal,1,8,58,0.00449
0.0,10,34,linear,1,8,58,0.00473
0.0,10,34,mlp,1,9,58,0.00532
0.0,10,35,cardinal,1,5,60,0.00334
0.0,10,35,linear,1,5,60,0.00288
0.0,10,35,mlp,1,6,60,0.00336
0.0,10,36,cardinal,1,4,53,0.00158
0.0,10,36,linear,1,4,53,0.00173
0.0,10,36,mlp,1,6,53,0.00245
0.0,10,37,cardinal,1,7,58,0.00298
0.0,10,37,linear,1,7,58,0.00356
0.0,10,37,mlp,1,8,58,0.00392
0.0,10,38,cardinal,1,24,46,0.0077
0.0,10,38,linear,1,13,46,0.00485
0.0,10,38,mlp,1,13,46,0.00558
0.0,10,39,cardinal,1,19,62,0.00689
0.0,10,39,linear,1,20,62,0.00891
0.0,10,39,mlp,1,14,62,0.00594
0.0,10,40,cardinal,1,39,58,0.01357
0.0,10,40,linear,1,218,58,0.09298
0.0,10,40,mlp,1,289,58,0.12353
0.0,10,41,cardinal,1,6,54,0.00289
0.0,10,41,linear,1,6,54,0.00308
