strategy,height,width,density,n_agents,seed,success,cost,expansions,generated,runtime,reason
first,8,8,0.2,12,12,1,66,103,205,0.0392,solved
random,8,8,0.2,12,12,1,66,222,443,0.1088,solved
earliest,8,8,0.2,12,12,1,66,362,723,0.128,solved
most-conflicts,8,8,0.2,12,12,1,66,101,201,0.0462,solved
cardinal,8,8,0.2,12,12,1,66,24,47,0.012,solved
learned-linear,8,8,0.2,12,12,1,66,75,149,0.0385,solved
learned-mlp,8,8,0.2,12,12,1,66,71,141,0.0371,solved
first,8,8,0.2,12,13,0,,3000,6001,1.6164,node_limit
random,8,8,0.2,12,13,0,,3000,6001,1.2825,node_limit
earliest,8,8,0.2,12,13,0,,3000,5989,1.1319,node_limit
most-conflicts,8,8,0.2,12,13,0,,3000,5976,1.5125,node_limit
cardinal,8,8,0.2,12,13,0,,3000,6001,1.4179,node_limit
learned-linear,8,8,0.2,12,13,0,,3000,6001,2.4047,node_limit
learned-mlp,8,8,0.2,12,13,0,,3000,6001,2.6028,node_limit
first,8,8,0.2,12,14,0,,3000,6001,1.163,node_limit
random,8,8,0.2,12,14,0,,3000,6000,1.1058,node_limit
earliest,8,8,0.2,12,14,0,,3000,5990,0.9864,node_limit
most-conflicts,8,8,0.2,12,14,0,,3000,6001,1.1881,node_limit
cardinal,8,8,0.2,12,14,0,,3000,6001,1.3315,node_limit
learned-linear,8,8,0.2,12,14,0,,3000,6001,1.7346,node_limit
learned-mlp,8,8,0.2,12,14,0,,3000,6001,1.4358,node_limit
first,8,8,0.2,12,15,0,,3000,6001,1.0544,node_limit
random,8,8,0.2,12,15,0,,3000,6001,0.9844,node_limit
earliest,8,8,0.2,12,15,0,,3000,5987,0.8878,node_limit
most-conflicts,8,8,0.2,12,15,0,,3000,5999,0.9328,node_limit
cardinal,8,8,0.2,12,15,0,,3000,6001,1.1087,node_limit
learned-linear,8,8,0.2,12,15,0,,3000,6001,1.3974,node_limit
learned-mlp,8,8,0.2,12,15,0,,3000,6001,1.4733,node_limit
first,8,8,0.2,12,16,1,61,16,31,0.0055,solved
random,8,8,0.2,12,16,1,61,105,209,0.0362,solved
earliest,8,8,0.2,12,16,1,61,125,249,0.0422,solved
most-conflicts,8,8,0.2,12,16,1,61,69,137,0.0239,solved
cardinal,8,8,0.2,12,16,1,61,16,31,0.0067,solved
learned-linear,8,8,0.2,12,16,1,61,52,103,0.0226,solved
learned-mlp,8,8,0.2,12,16,1,61,27,53,0.0117,solved
first,8,8,0.2,12,17,0,,3000,6001,1.7594,node_limit
random,8,8,0.2,12,17,0,,3000,6001,1.41,node_limit
earliest,8,8,0.2,12,17,0,,3000,5977,1.1922,node_limit
most-conflicts,8,8,0.2,12,17,0,,3000,6001,1.475,node_limit
cardinal,8,8,0.2,12,17,0,,3000,6001,1.4713,node_limit
learned-linear,8,8,0.2,12,17,0,,3000,6001,2.4023,node_limit
learned-mlp,8,8,0.2,12,17,0,,3000,6001,2.6878,node_limit
first,8,8,0.2,12,18,0,,3000,6001,1.7897,node_limit
random,8,8,0.2,12,18,0,,3000,6001,1.7367,node_limit
earliest,8,8,0.2,12,18,0,,3000,6000,1.544,node_limit
most-conflicts,8,8,0.2,12,18,0,,3000,6001,1.6002,node_limit
cardinal,8,8,0.2,12,18,1,111,2827,5653,1.6169,solved
learned-linear,8,8,0.2,12,18,0,,3000,6001,1.9565,node_limit
learned-mlp,8,8,0.2,12,18,0,,3000,6001,1.9336,node_limit
first,8,8,0.2,12,19,0,,3000,6001,1.5178,node_limit
random,8,8,0.2,12,19,0,,3000,6001,1.4222,node_limit
earliest,8,8,0.2,12,19,0,,3000,5994,1.2143,node_limit
most-conflicts,8,8,0.2,12,19,0,,3000,6001,1.5244,node_limit
cardinal,8,8,0.2,12,19,0,,3000,6001,1.8315,node_limit
learned-linear,8,8,0.2,12,19,0,,3000,6001,2.1059,node_limit
learned-mlp,8,8,0.2,12,19,0,,3000,6001,2.085,node_limit
first,8,8,0.2,14,0,0,,3000,6001,2.2175,node_limit
random,8,8,0.2,14,0,0,,3000,6001,1.4471,node_limit
earliest,8,8,0.2,14,0,0,,3000,5970,1.3714,node_limit
most-conflicts,8,8,0.2,14,0,0,,3000,6001,1.5045,node_limit
cardinal,8,8,0.2,14,0,0,,3000,6001,1.6427,node_limit
learned-linear,8,8,0.2,14,0,0,,3000,6001,1.9729,node_limit
learned-mlp,8,8,0.2,14,0,0,,3000,6001,2.0872,node_limit
first,8,8,0.2,14,1,0,,3000,5991,1.5624,node_limit
random,8,8,0.2,14,1,0,,3000,6001,1.5373,node_limit
earliest,8,8,0.2,14,1,0,,3000,5896,1.3437,node_limit
most-conflicts,8,8,0.2,14,1,0,,3000,6001,1.4641,node_limit
cardinal,8,8,0.2,14,1,1,105,2834,5665,1.6583,solved
learned-linear,8,8,0.2,14,1,0,,3000,6001,1.9446,node_limit
learned-mlp,8,8,0.2,14,1,0,,3000,6001,2.1989,node_limit
first,8,8,0.2,14,2,0,,3000,6001,1.5423,node_limit
random,8,8,0.2,14,2,0,,3000,6000,1.1764,node_limit
earliest,8,8,0.2,14,2,0,,3000,5997,1.0984,node_limit
most-conflicts,8,8,0.2,14,2,0,,3000,6001,1.2074,node_limit
cardinal,8,8,0.2,14,2,0,,3000,5991,1.5175,node_limit
learned-linear,8,8,0.2,14,2,0,,3000,6001,1.55,node_limit
learned-mlp,8,8,0.2,14,2,0,,3000,6001,1.6025,node_limit
first,8,8,0.2,14,3,0,,3000,5972,1.2516,node_limit
random,8,8,0.2,14,3,0,,3000,6000,1.3849,node_limit
earliest,8,8,0.2,14,3,0,,3000,5993,1.1989,node_limit
most-conflicts,8,8,0.2,14,3,0,,3000,6001,1.6259,node_limit
cardinal,8,8,0.2,14,3,1,78,394,787,0.2208,solved
learned-linear,8,8,0.2,14,3,0,,3000,6001,1.9923,node_limit
learned-mlp,8,8,0.2,14,3,1,78,2364,4727,1.4699,solved
first,8,8,0.2,14,4,0,,3000,6001,1.6536,node_limit
random,8,8,0.2,14,4,0,,3000,6001,1.6056,node_limit
earliest,8,8,0.2,14,4,0,,3000,6001,1.3906,node_limit
most-conflicts,8,8,0.2,14,4,0,,3000,6001,1.7605,node_limit
cardinal,8,8,0.2,14,4,1,111,1532,3063,1.0963,solved
learned-linear,8,8,0.2,14,4,0,,3000,6001,2.6575,node_limit
learned-mlp,8,8,0.2,14,4,0,,3000,6001,2.355,node_limit
first,8,8,0.2,14,5,0,,3000,6001,1.2637,node_limit
random,8,8,0.2,14,5,0,,3000,6001,1.2912,node_limit
earliest,8,8,0.2,14,5,0,,3000,5997,1.1349,node_limit
most-conflicts,8,8,0.2,14,5,0,,3000,5998,1.2865,node_limit
cardinal,8,8,0.2,14,5,1,79,900,1799,0.4376,solved
learned-linear,8,8,0.2,14,5,0,,3000,6001,1.563,node_limit
learned-mlp,8,8,0.2,14,5,0,,3000,6001,1.6279,node_limit
first,8,8,0.2,14,6,0,,3000,5979,1.3626,node_limit
random,8,8,0.2,14,6,1,87,2254,4507,1.0136,solved
earliest,8,8,0.2,14,6,1,87,410,819,0.1744,solved
most-conflicts,8,8,0.2,14,6,0,,3000,6001,1.3837,node_limit
cardinal,8,8,0.2,14,6,1,87,63,125,0.0298,solved
learned-linear,8,8,0.2,14,6,1,87,1224,2447,0.6296,solved
learned-mlp,8,8,0.2,14,6,1,87,1306,2611,0.6912,solved
first,8,8,0.2,14,7,1,72,118,235,0.0396,solved
random,8,8,0.2,14,7,1,72,108,215,0.0345,solved
earliest,8,8,0.2,14,7,1,72,14,27,0.0046,solved
most-conflicts,8,8,0.2,14,7,1,72,229,456,0.0786,solved
cardinal,8,8,0.2,14,7,1,72,14,27,0.0053,solved
learned-linear,8,8,0.2,14,7,1,72,12,23,0.0053,solved
learned-mlp,8,8,0.2,14,7,1,72,12,23,0.0053,solved
first,8,8,0.2,14,8,0,,3000,6001,1.9479,node_limit
random,8,8,0.2,14,8,0,,3000,6001,1.4701,node_limit
earliest,8,8,0.2,14,8,0,,3000,5999,1.3626,node_limit
most-conflicts,8,8,0.2,14,8,0,,3000,6001,1.4919,node_limit
cardinal,8,8,0.2,14,8,1,105,428,855,0.2984,solved
learned-linear,8,8,0.2,14,8,0,,3000,6001,2.0183,node_limit
learned-mlp,8,8,0.2,14,8,0,,3000,5975,2.2005,node_limit
first,8,8,0.2,14,9,0,,3000,6001,1.8451,node_limit
random,8,8,0.2,14,9,0,,3000,6001,1.7493,node_limit
earliest,8,8,0.2,14,9,0,,3000,6000,1.5125,node_limit
most-conflicts,8,8,0.2,14,9,0,,3000,6001,2.3598,node_limit
cardinal,8,8,0.2,14,9,0,,3000,6001,2.3759,node_limit
learned-linear,8,8,0.2,14,9,0,,3000,6001,2.3749,node_limit
learned-mlp,8,8,0.2,14,9,0,,3000,6001,2.5853,node_limit
first,8,8,0.2,14,10,0,,3000,6001,1.7581,node_limit
random,8,8,0.2,14,10,0,,3000,6001,1.7238,node_limit
earliest,8,8,0.2,14,10,0,,3000,5725,1.302,node_limit
most-conflicts,8,8,0.2,14,10,0,,3000,6001,2.2206,node_limit
cardinal,8,8,0.2,14,10,0,,3000,6001,1.8685,node_limit
learned-linear,8,8,0.2,14,10,1,106,1254,2507,1.547,solved
learned-mlp,8,8,0.2,14,10,0,,3000,6001,2.9184,node_limit
first,8,8,0.2,14,11,0,,3000,6001,1.4454,node_limit
random,8,8,0.2,14,11,0,,3000,6001,1.436,node_limit
earliest,8,8,0.2,14,11,0,,3000,5913,1.2783,node_limit
most-conflicts,8,8,0.2,14,11,0,,3000,5999,1.4625,node_limit
cardinal,8,8,0.2,14,11,1,101,919,1837,0.538,solved
learned-linear,8,8,0.2,14,11,0,,3000,6001,1.8274,node_limit
learned-mlp,8,8,0.2,14,11,0,,3000,5999,2.0094,node_limit
first,8,8,0.2,14,12,1,75,112,223,0.0525,solved
random,8,8,0.2,14,12,1,75,115,229,0.0656,solved
earliest,8,8,0.2,14,12,1,75,152,303,0.0699,solved
most-conflicts,8,8,0.2,14,12,1,75,66,131,0.0373,solved
cardinal,8,8,0.2,14,12,1,75,24,47,0.0143,solved
learned-linear,8,8,0.2,14,12,1,75,114,227,0.0658,solved
learned-mlp,8,8,0.2,14,12,1,75,85,169,0.054,solved
first,8,8,0.2,14,13,0,,3000,6001,1.9821,node_limit
random,8,8,0.2,14,13,0,,3000,6001,1.583,node_limit
earliest,8,8,0.2,14,13,0,,3000,6001,1.3892,node_limit
most-conflicts,8,8,0.2,14,13,0,,3000,5719,1.5853,node_limit
cardinal,8,8,0.2,14,13,0,,3000,6001,1.8543,node_limit
learned-linear,8,8,0.2,14,13,0,,3000,6001,3.4412,node_limit
learned-mlp,8,8,0.2,14,13,0,,3000,6001,3.1375,node_limit
first,8,8,0.2,14,14,0,,3000,6001,1.4178,node_limit
random,8,8,0.2,14,14,0,,3000,5996,1.3262,node_limit
earliest,8,8,0.2,14,14,0,,3000,5976,1.1944,node_limit
most-conflicts,8,8,0.2,14,14,0,,3000,6001,1.3975,node_limit
cardinal,8,8,0.2,14,14,0,,3000,6001,1.5133,node_limit
learned-linear,8,8,0.2,14,14,0,,3000,6001,2.0139,node_limit
learned-mlp,8,8,0.2,14,14,0,,3000,6001,1.7743,node_limit
first,8,8,0.2,14,15,0,,3000,6001,1.2504,node_limit
random,8,8,0.2,14,15,0,,3000,6001,1.2027,node_limit
earliest,8,8,0.2,14,15,0,,3000,5966,1.1204,node_limit
most-conflicts,8,8,0.2,14,15,0,,3000,5991,1.2062,node_limit
cardinal,8,8,0.2,14,15,0,,3000,6001,1.5217,node_limit
learned-linear,8,8,0.2,14,15,0,,3000,6001,1.6612,node_limit
learned-mlp,8,8,0.2,14,15,0,,3000,6001,1.8292,node_limit
first,8,8,0.2,14,16,1,74,897,1793,0.4547,solved
random,8,8,0.2,14,16,1,74,1979,3957,0.9085,solved
earliest,8,8,0.2,14,16,0,,3000,5993,1.32,node_limit
most-conflicts,8,8,0.2,14,16,0,,3000,6001,1.4765,node_limit
cardinal,8,8,0.2,14,16,1,74,70,139,0.0364,solved
learned-linear,8,8,0.2,14,16,1,74,650,1299,0.3779,solved
learned-mlp,8,8,0.2,14,16,1,74,344,687,0.1976,solved
first,8,8,0.2,14,17,0,,3000,6001,2.066,node_limit
random,8,8,0.2,14,17,0,,3000,6001,1.6084,node_limit
earliest,8,8,0.2,14,17,0,,3000,6001,1.4679,node_limit
most-conflicts,8,8,0.2,14,17,0,,3000,6001,1.7822,node_limit
cardinal,8,8,0.2,14,17,0,,3000,6001,1.8005,node_limit
learned-linear,8,8,0.2,14,17,0,,3000,6001,2.5319,node_limit
learned-mlp,8,8,0.2,14,17,0,,3000,6001,2.7408,node_limit
first,8,8,0.2,14,18,0,,3000,6001,2.1932,node_limit
random,8,8,0.2,14,18,0,,3000,6001,1.9611,node_limit
earliest,8,8,0.2,14,18,0,,3000,6000,1.8863,node_limit
most-conflicts,8,8,0.2,14,18,0,,3000,6001,1.984,node_limit
cardinal,8,8,0.2,14,18,0,,3000,6001,2.0094,node_limit
learned-linear,8,8,0.2,14,18,0,,3000,6001,2.3352,node_limit
learned-mlp,8,8,0.2,14,18,0,,3000,6001,2.5014,node_limit
first,8,8,0.2,14,19,0,,3000,6001,1.8143,node_limit
random,8,8,0.2,14,19,0,,3000,6001,1.6912,node_limit
earliest,8,8,0.2,14,19,0,,3000,5992,1.4274,node_limit
most-conflicts,8,8,0.2,14,19,0,,3000,5999,1.6461,node_limit
cardinal,8,8,0.2,14,19,0,,3000,6001,2.5651,node_limit
learned-linear,8,8,0.2,14,19,0,,3000,6001,2.4014,node_limit
learned-mlp,8,8,0.2,14,19,0,,3000,6001,2.622,node_limit
